//Loading PDBs.
//PDB loading of cell: SRAMNSA_1
//Making the stats.
GID                       totalC    totalCC    ratioCC     Cell    Layout   Source
152                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<84>  WL<84>  
153                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<85>  WL<85>  
154                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<86>  WL<86>  
155                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<87>  WL<87>  
156                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<88>  WL<88>  
157                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<89>  WL<89>  
158                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<90>  WL<90>  
159                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<91>  WL<91>  
160                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<92>  WL<92>  
161                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<93>  WL<93>  
162                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<94>  WL<94>  
163                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<95>  WL<95>  
164                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<96>  WL<96>  
165                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<97>  WL<97>  
166                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<98>  WL<98>  
167                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<99>  WL<99>  
168                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<100>  WL<100>  
169                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<101>  WL<101>  
170                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<102>  WL<102>  
171                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<103>  WL<103>  
172                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<104>  WL<104>  
173                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<105>  WL<105>  
174                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<106>  WL<106>  
175                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<107>  WL<107>  
176                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<108>  WL<108>  
177                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<109>  WL<109>  
178                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<110>  WL<110>  
179                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<111>  WL<111>  
180                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<112>  WL<112>  
181                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<113>  WL<113>  
182                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<114>  WL<114>  
183                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<115>  WL<115>  
184                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<116>  WL<116>  
185                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<117>  WL<117>  
186                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<118>  WL<118>  
187                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<119>  WL<119>  
188                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<120>  WL<120>  
189                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<121>  WL<121>  
190                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<122>  WL<122>  
191                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<123>  WL<123>  
192                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<124>  WL<124>  
193                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<125>  WL<125>  
194                      2.77e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<126>  WL<126>  
195                      2.76e-16   0.00e+00   0.00e+00    SRAMNSA_1  WL<127>  WL<127>  
196                      6.46e-18   1.74e-18   2.70e-01    SRAMNSA_1  X0/X0/X0/20  XI1/XI0/NET3  
197                      6.58e-18   1.74e-18   2.64e-01    SRAMNSA_1  X0/X0/X1/20  XI1/XI4/NET3  
198                      6.58e-18   1.74e-18   2.64e-01    SRAMNSA_1  X0/X1/X0/20  XI1/XI8/NET3  
199                      6.61e-18   1.74e-18   2.63e-01    SRAMNSA_1  X0/X1/X1/20  XI1/XI12/NET3  
200                      6.58e-18   1.74e-18   2.64e-01    SRAMNSA_1  X1/X0/X0/20  XI1/XI1/NET3  
201                      6.58e-18   1.74e-18   2.64e-01    SRAMNSA_1  X1/X0/X1/20  XI1/XI5/NET3  
202                      6.61e-18   1.74e-18   2.63e-01    SRAMNSA_1  X1/X1/X0/20  XI1/XI9/NET3  
203                      6.61e-18   1.74e-18   2.63e-01    SRAMNSA_1  X1/X1/X1/20  XI1/XI13/NET3  
204                      6.61e-18   1.74e-18   2.63e-01    SRAMNSA_1  X2/X0/X0/20  XI1/XI2/NET3  
205                      6.58e-18   1.74e-18   2.64e-01    SRAMNSA_1  X2/X0/X1/20  XI1/XI6/NET3  
206                      6.58e-18   1.74e-18   2.64e-01    SRAMNSA_1  X2/X1/X0/20  XI1/XI10/NET3  
207                      6.58e-18   1.74e-18   2.64e-01    SRAMNSA_1  X2/X1/X1/20  XI1/XI14/NET3  
208                      6.61e-18   1.74e-18   2.63e-01    SRAMNSA_1  X3/X0/X0/20  XI1/XI3/NET3  
209                      6.61e-18   1.74e-18   2.63e-01    SRAMNSA_1  X3/X0/X1/20  XI1/XI7/NET3  
210                      6.58e-18   1.74e-18   2.64e-01    SRAMNSA_1  X3/X1/X0/20  XI1/XI11/NET3  
211                      6.48e-18   1.74e-18   2.69e-01    SRAMNSA_1  X3/X1/X1/20  XI1/XI15/NET3  
212                      3.55e-18   0.00e+00   0.00e+00    SRAMNSA_1  X4/X0/X0/X0/X0/X0/X0/X0/15  XI0/XI0/XI0/NET33  
213                      3.54e-18   0.00e+00   0.00e+00    SRAMNSA_1  X4/X0/X0/X0/X0/X0/X0/X0/16  XI0/XI0/XI0/NET34  
214                      3.54e-18   0.00e+00   0.00e+00    SRAMNSA_1  X4/X0/X0/X0/X0/X0/X0/X0/17  XI0/XI0/XI0/NET36  
215                      3.55e-18   0.00e+00   0.00e+00    SRAMNSA_1  X4/X0/X0/X0/X0/X0/X0/X0/18  XI0/XI0/XI0/NET35  
216                      3.55e-18   0.00e+00   0.00e+00    SRAMNSA_1  X4/X0/X0/X0/X0/X0/X0/X1/15  XI0/XI0/XI1/NET33  
217                      3.54e-18   0.00e+00   0.00e+00    SRAMNSA_1  X4/X0/X0/X0/X0/X0/X0/X1/16  XI0/XI0/XI1/NET34  
218                      3.54e-18   0.00e+00   0.00e+00    SRAMNSA_1  X4/X0/X0/X0/X0/X0/X0/X1/17  XI0/XI0/XI1/NET36  
219                      3.55e-18   0.00e+00   0.00e+00    SRAMNSA_1  X4/X0/X0/X0/X0/X0/X0/X1/18  XI0/XI0/XI1/NET35  
220                      3.55e-18   0.00e+00   0.00e+00    SRAMNSA_1  X4/X0/X0/X0/X0/X0/X1/X0/15  XI0/XI0/XI2/NET33  
221                      3.54e-18   0.00e+00   0.00e+00    SRAMNSA_1  X4/X0/X0/X0/X0/X0/X1/X0/16  XI0/XI0/XI2/NET34  
222                      3.54e-18   0.00e+00   0.00e+00    SRAMNSA_1  X4/X0/X0/X0/X0/X0/X1/X0/17  XI0/XI0/XI2/NET36  
223                      3.55e-18   0.00e+00   0.00e+00    SRAMNSA_1  X4/X0/X0/X0/X0/X0/X1/X0/18  XI0/XI0/XI2/NET35  
224                      3.55e-18   0.00e+00   0.00e+00    SRAMNSA_1  X4/X0/X0/X0/X0/X0/X1/X1/15  XI0/XI0/XI3/NET33  
225                      3.54e-18   0.00e+00   0.00e+00    SRAMNSA_1  X4/X0/X0/X0/X0/X0/X1/X1/16  XI0/XI0/XI3/NET34  
226                      3.54e-18   0.00e+00   0.00e+00    SRAMNSA_1  X4/X0/X0/X0/X0/X0/X1/X1/17  XI0/XI0/XI3/NET36  
227                      3.55e-18   0.00e+00   0.00e+00    SRAMNSA_1  X4/X0/X0/X0/X0/X0/X1/X1/18  XI0/XI0/XI3/NET35  
228                      3.55e-18   0.00e+00   0.00e+00    SRAMNSA_1  X4/X0/X0/X0/X0/X1/X0/X0/15  XI0/XI0/XI4/NET33  
229                      3.54e-18   0.00e+00   0.00e+00    SRAMNSA_1  X4/X0/X0/X0/X0/X1/X0/X0/16  XI0/XI0/XI4/NET34  
230                      3.54e-18   0.00e+00   0.00e+00    SRAMNSA_1  X4/X0/X0/X0/X0/X1/X0/X0/17  XI0/XI0/XI4/NET36  
231                      3.55e-18   0.00e+00   0.00e+00    SRAMNSA_1  X4/X0/X0/X0/X0/X1/X0/X0/18  XI0/XI0/XI4/NET35  
232                      3.55e-18   0.00e+00   0.00e+00    SRAMNSA_1  X4/X0/X0/X0/X0/X1/X0/X1/15  XI0/XI0/XI5/NET33  
233                      3.54e-18   0.00e+00   0.00e+00    SRAMNSA_1  X4/X0/X0/X0/X0/X1/X0/X1/16  XI0/XI0/XI5/NET34  
234                      3.54e-18   0.00e+00   0.00e+00    SRAMNSA_1  X4/X0/X0/X0/X0/X1/X0/X1/17  XI0/XI0/XI5/NET36  
235                      3.55e-18   0.00e+00   0.00e+00    SRAMNSA_1  X4/X0/X0/X0/X0/X1/X0/X1/18  XI0/XI0/XI5/NET35  
236                      3.55e-18   0.00e+00   0.00e+00    SRAMNSA_1  X4/X0/X0/X0/X0/X1/X1/X0/15  XI0/XI0/XI6/NET33  
237                      3.54e-18   0.00e+00   0.00e+00    SRAMNSA_1  X4/X0/X0/X0/X0/X1/X1/X0/16  XI0/XI0/XI6/NET34  
238                      3.54e-18   0.00e+00   0.00e+00    SRAMNSA_1  X4/X0/X0/X0/X0/X1/X1/X0/17  XI0/XI0/XI6/NET36  
239                      3.55e-18   0.00e+00   0.00e+00    SRAMNSA_1  X4/X0/X0/X0/X0/X1/X1/X0/18  XI0/XI0/XI6/NET35  
240                      3.55e-18   0.00e+00   0.00e+00    SRAMNSA_1  X4/X0/X0/X0/X0/X1/X1/X1/15  XI0/XI0/XI7/NET33  
241                      3.54e-18   0.00e+00   0.00e+00    SRAMNSA_1  X4/X0/X0/X0/X0/X1/X1/X1/16  XI0/XI0/XI7/NET34  
242                      3.54e-18   0.00e+00   0.00e+00    SRAMNSA_1  X4/X0/X0/X0/X0/X1/X1/X1/17  XI0/XI0/XI7/NET36  
243                      3.55e-18   0.00e+00   0.00e+00    SRAMNSA_1  X4/X0/X0/X0/X0/X1/X1/X1/18  XI0/XI0/XI7/NET35  
244                      3.55e-18   0.00e+00   0.00e+00    SRAMNSA_1  X4/X0/X0/X0/X0/X2/X0/X0/15  XI0/XI0/XI8/NET33  
245                      3.54e-18   0.00e+00   0.00e+00    SRAMNSA_1  X4/X0/X0/X0/X0/X2/X0/X0/16  XI0/XI0/XI8/NET34  
246                      3.54e-18   0.00e+00   0.00e+00    SRAMNSA_1  X4/X0/X0/X0/X0/X2/X0/X0/17  XI0/XI0/XI8/NET36  
247                      3.55e-18   0.00e+00   0.00e+00    SRAMNSA_1  X4/X0/X0/X0/X0/X2/X0/X0/18  XI0/XI0/XI8/NET35  
248                      3.55e-18   0.00e+00   0.00e+00    SRAMNSA_1  X4/X0/X0/X0/X0/X2/X0/X1/15  XI0/XI0/XI9/NET33  
249                      3.54e-18   0.00e+00   0.00e+00    SRAMNSA_1  X4/X0/X0/X0/X0/X2/X0/X1/16  XI0/XI0/XI9/NET34  
250                      3.54e-18   0.00e+00   0.00e+00    SRAMNSA_1  X4/X0/X0/X0/X0/X2/X0/X1/17  XI0/XI0/XI9/NET36  
251                      3.55e-18   0.00e+00   0.00e+00    SRAMNSA_1  X4/X0/X0/X0/X0/X2/X0/X1/18  XI0/XI0/XI9/NET35  
